,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,n_days,ann_turnover,cost_drag_ann,avg_names_held
weekly_reform (base),-4.807181723243126e-05,0.07709811518368763,0.037880439275770506,0.053901063900072536,-0.22972822409924343,-0.0002092551641006203,0.510148107515085,0.34133273768897315,3647.0,45.76653734524649,0.02288326867262325,93.05416116248348
band_exit_15,0.00661072745860114,0.07246139456394675,0.12713429485326883,0.18068713813130735,-0.20587080146600012,0.03211104931600955,0.5156335710367526,0.2165864083342674,3647.0,31.746176938107137,0.015873088469053567,123.69749009247028
band_exit_20,0.009893230298516631,0.07047689393899771,0.17490379078506751,0.2487420467692361,-0.19458140326162354,0.050843657886538794,0.5145364783324191,0.16770947208358977,3647.0,28.609848810188296,0.014304924405094151,133.96433289299867
band_exit_30,0.009721482972103956,0.06627293543725807,0.17910364494043943,0.2540098679171324,-0.17587582653669442,0.0552746967194817,0.5183763027975864,0.10531619273142202,3647.0,23.341568000679345,0.011670784000339673,156.667107001321
